hotspot_id,dominant_junction,historical_CHI,pred_7d_violations,pred_7d_CHI
HS_8960145b6a7ffff,BTP032 - Windsor Circle,73.67878573543459,17.502586966923303,21.153561504908968
HS_8961892e3b7ffff,No Junction,73.47407139526213,28.17314758300781,53.8492102922712
HS_8960145b097ffff,BTP054 - Shivananda Circle,73.23849318892462,16.669435729980467,57.711926498413085
HS_8960145a223ffff,"BTP016 - 5th Main Road, RPC Layout",73.23071786368664,54.408837040492465,62.28256530761719
HS_8960145b377ffff,No Junction,72.86459052287539,80.10802852085658,58.02822248186384
HS_8960145b50bffff,BTP048 - Shanthala Junction,72.5934633622592,16.79093307495117,68.07761817932129
HS_896014586c7ffff,"BTP206 - Shankara Mutt Circle, Vijayanagar",72.27256824468733,14.29371603012085,63.433302841186524
HS_8960145845bffff,BTP208 - Havanur Circle,71.97936122667193,15.293539352416992,73.93693477085658
HS_8960145b1b7ffff,BTP069 - MC Circle,71.97720348157839,38.351946716308596,59.765616760253906
HS_8961892e16bffff,No Junction,71.77343158501961,58.929964098249165,52.571021336146764
HS_8960145a22fffff,"BTP016 - 5th Main Road, RPC Layout",71.5066015005773,34.074308667864116,66.96910188947405
HS_8960145b2a7ffff,No Junction,71.28228173601606,114.17147951398577,64.21614678519113
HS_89618925913ffff,BTP219 - Canara Bank Junction,71.12879774341125,28.75567150115967,90.76148910522461
HS_89618925b0bffff,BTP192 - Urvashi Theater,70.98637484123634,13.53096413203648,63.619580252511156
HS_8960145b073ffff,No Junction,70.4144346256991,81.86561096191406,55.58146545410156
HS_8960145b173ffff,"BTP170 - Dr. Bheem Rao Palace, Chord Road",70.40845894852906,14.075273797171455,68.03722242082868
HS_8960145a24bffff,BTP071 - Prasanna Junction,70.34905819279128,14.401634063720703,62.181761300223215
HS_8960145b5d3ffff,BTP038 - Mysore Bank Junction,70.02850567333232,17.771867980957033,55.883281860351566
HS_896014586d3ffff,BTP205 - Modi Hospital Junction,69.80541594631782,14.685168294906617,65.0734774017334
HS_8960145b10bffff,"BTP204 - ESI Hospital, Rajajinagar",69.5248427879759,41.05228913988386,100.0
HS_8960145b0cbffff,BTP032 - Windsor Circle,69.30951638367459,17.095963112967354,35.99987221854074
HS_89618920babffff,No Junction,69.29387236044865,43.83694594247001,61.05238832746233
HS_8960145b1abffff,"BTP024 - NPS, Vijayanagar",69.2369090732867,19.097923540387836,62.705639844621935
HS_8960145b4b3ffff,BTP076 - Hudson Circle,68.73862055559916,16.269653374808176,58.758009801592145
HS_8960145844bffff,BTP208 - Havanur Circle,68.68204455015656,13.95400334766933,76.76268424987794
HS_896014584dbffff,BTP067 - Jai Muni Rao Circle,68.62231708379001,14.77737970352173,71.97665863037109
HS_8960145b30fffff,No Junction,68.45967134663361,183.87174918038505,100.0
HS_8961892598bffff,BTP225 - Geetha Junction,68.13583109053597,13.368784652437483,46.58321157182966
HS_896014586d7ffff,BTP205 - Modi Hospital Junction,67.99972795118636,13.03165754045759,47.69523075648717
HS_8961892e387ffff,No Junction,67.91454136071512,77.24866646902902,65.56851876395089
HS_8960145b557ffff,BTP045 - Danvanthri Road Junction,67.90953505199369,13.138122847420828,43.10794591631208
HS_89618925957ffff,No Junction,67.50255784176431,69.12318167550222,59.259782802036824
HS_8960145b373ffff,No Junction,67.33402542867417,64.24518748692104,69.53113599504744
HS_8960145b14fffff,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",67.21498083293777,16.623447796957834,34.71241242000035
HS_8960145b09bffff,BTP054 - Shivananda Circle,67.08730920435386,16.12792616707938,48.81987334115165
HS_89618920b0fffff,No Junction,66.98317258773947,117.00323976789203,100.0
HS_89618924053ffff,No Junction,66.89475370565847,97.59596296037947,91.93625662667411
HS_8960145b433ffff,BTP037 - KR Circle,66.8301117912624,13.046069383621216,14.287345933914185
HS_89618926387ffff,No Junction,66.43917214101613,51.612668522426056,59.73955274309431
HS_89618925c8fffff,BTP137 - Madiwala Traffic PS Junction,66.39428050446145,12.7461812046596,32.550314025878905
HS_8960145b1a7ffff,BTP068 - Veeresh Theatre Junction,66.22084010128276,24.28873000553676,95.28571428571428
HS_896189242afffff,No Junction,65.92971134525128,33.227469308035715,40.506068393162316
HS_89618925373ffff,"BTP148 - 17th Main, Doopanahalli Bus Stop",65.74359254088549,13.046069383621216,12.184154863357543
HS_8960145b1d7ffff,BTP010 - Rajajinagar Entrance,65.65526776103142,20.98679969242641,15.218427664893015
HS_8961892e927ffff,BTP211 - Central Street Junction,65.65487824560189,17.20586641039167,34.1418862588065
HS_89618925bc7ffff,BTP103 - Shanti Nagar TTMC,65.31976517903975,13.083720377513341,47.24287163870675
HS_8960145b193ffff,No Junction,65.19909811326198,28.09701816558838,29.434440928867886
HS_8961892588bffff,BTP136 - Hosur-Tavarkere Road Junction,64.94429064023292,12.764494683401924,34.71241242000035
HS_89618920973ffff,No Junction,64.89238215158994,31.602538037981308,57.601030317034045
HS_8960145a68bffff,BTP108 - Tagore Park Junction,64.74105981347599,28.859308417184014,41.20226620265416
HS_89601690c2bffff,No Junction,64.67918871617154,29.54700428009033,36.366721736363004
HS_89618920963ffff,No Junction,64.55703126049322,29.462342376708985,36.2625190952846
HS_89618925c6fffff,BTP135 - UCO Bank Junction,64.5001146543397,19.153596752711703,36.46826412200927
HS_8960145b3abffff,"BTP001 - 10th Cross, Dr. Rajkumar Road",64.46379822647174,13.046069383621216,14.287345933914185
HS_8960145b08fffff,No Junction,64.4223248939233,42.31357248033796,40.61475486210414
HS_8960145b44fffff,BTP034 - LRDE Junction,64.264968856148,17.12229778289795,12.279863679068429
HS_8960145b54fffff,BTP057 - Anand Rao Junction,64.21687798005958,13.896038183484759,51.13735676356724
HS_896016964b7ffff,No Junction,64.03074463628695,115.51533172607422,85.38679168701172
HS_8961892c9d7ffff,No Junction,63.91863742765192,59.64880875178746,63.49523898533413
HS_8961892e98fffff,No Junction,63.91196097029789,46.22045125143869,28.746880487714495
HS_8961892c98bffff,No Junction,63.62741030469056,33.421498325892856,33.50356594085694
HS_89618925453ffff,No Junction,63.54832113398723,61.338162667410714,91.42857142857143
HS_8960145b17bffff,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",63.26791324423038,32.691999966757635,15.937903727122714
HS_8960145b593ffff,BTP082 - KR Market Junction,62.97189183153596,37.418640125819614,63.20208178383963
