hotspot_id,dominant_junction,historical_CHI,pred_24h_CHI,chi_pct_change
HS_8961892528bffff,No Junction,24.787044339760055,36.470924,47.137044165203825
HS_8961892c893ffff,No Junction,24.787044339760055,36.470924,47.137044165203825
HS_8960145b127ffff,No Junction,23.12342783190781,34.01901,47.11922853207812
HS_89601459e63ffff,No Junction,24.795156232793968,36.470924,47.088907345560976
HS_89601458457ffff,No Junction,24.795156232793968,36.470924,47.088907345560976
HS_8961892e82fffff,No Junction,24.851008009876463,36.470924,46.75833013673681
HS_8960145a6afffff,No Junction,24.86569034068272,36.470924,46.6716744146507
HS_8961892425bffff,No Junction,24.86569034068272,36.470924,46.6716744146507
HS_8961892ea13ffff,No Junction,24.86569034068272,36.470924,46.6716744146507
HS_8960145a0a3ffff,No Junction,24.86569034068272,36.470924,46.6716744146507
HS_8961892e84bffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_8961892e13bffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_89618927243ffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_89601696513ffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_8961892ead7ffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_896016966bbffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_8961892ccbbffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_8961892dd1bffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_89618920b77ffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_8960145b2bbffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_8960145a1afffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_89601696637ffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_89618924837ffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_89601458e53ffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_896189248c3ffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_8961892d887ffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_89601453343ffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_8960145945bffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_8961892e52fffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_8961892ec73ffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_89601690017ffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_8960145ae77ffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_8961892ea0fffff,No Junction,24.949051165510117,36.470924,46.181608813481745
HS_8960145b30fffff,No Junction,68.45967134663361,100.0,46.07139945745201
HS_8961892ee4fffff,No Junction,24.970335716671435,36.470924,46.0570045643864
HS_896189242d3ffff,No Junction,25.05917048016759,36.470924,45.539232459052634
HS_896189253a3ffff,No Junction,25.117171248804283,36.470924,45.203152123181965
HS_8960145b52fffff,No Junction,22.412533357894727,32.532673,45.153929556207764
HS_89618925b9bffff,BTP122 - Siddapura Junction,38.19122696935754,55.158924,44.42825873868776
HS_896189240a7ffff,No Junction,25.25611125394707,36.470924,44.40435429956251
HS_89618925cd7ffff,No Junction,25.25611125394707,36.470924,44.40435429956251
HS_8961892e52bffff,No Junction,25.25611125394707,36.470924,44.40435429956251
HS_8961892cd1bffff,No Junction,25.25611125394707,36.470924,44.40435429956251
HS_89601459adbffff,No Junction,25.25611125394707,36.470924,44.40435429956251
HS_89618920b33ffff,No Junction,25.25611125394707,36.470924,44.40435429956251
HS_896016966a3ffff,No Junction,25.25611125394707,36.470924,44.40435429956251
HS_89618924bc3ffff,No Junction,25.25611125394707,36.470924,44.40435429956251
HS_8960145b10bffff,"BTP204 - ESI Hospital, Rajajinagar",69.5248427879759,100.0,43.833478782485905
HS_8960145b697ffff,No Junction,60.61943701310737,86.99461,43.50943844735909
HS_89618925c93ffff,No Junction,25.522766817305165,36.470924,42.89565327499321
HS_8960145a38fffff,No Junction,25.561902483889547,36.470924,42.676877827960176
HS_89618920b0fffff,No Junction,66.98317258773947,95.46475,42.520499566094585
HS_89618926397ffff,No Junction,62.02573086155443,88.286995,42.33930613593977
HS_89618925abbffff,No Junction,25.660796434814287,36.470924,42.127016478572344
HS_896016911bbffff,No Junction,25.66242468097479,36.470924,42.1179987114766
HS_896189249cbffff,No Junction,25.68958228669932,36.470924,41.96775942255816
HS_8960145b64fffff,No Junction,25.68958228669932,36.470924,41.96775942255816
HS_89601459e27ffff,No Junction,25.729666846738724,36.470924,41.74658612831652
HS_896016900a3ffff,No Junction,25.729666846738724,36.470924,41.74658612831652
HS_8961892eac7ffff,No Junction,25.729666846738724,36.470924,41.74658612831652
HS_8960144a64bffff,No Junction,25.729666846738724,36.470924,41.74658612831652
HS_896016965cbffff,No Junction,25.729666846738724,36.470924,41.74658612831652
HS_89618924d63ffff,No Junction,25.729666846738724,36.470924,41.74658612831652
HS_8961892e3bbffff,No Junction,25.729666846738724,36.470924,41.74658612831652
HS_8960169648fffff,No Junction,25.729666846738724,36.470924,41.74658612831652
HS_8960145a56bffff,No Junction,25.729666846738724,36.470924,41.74658612831652
HS_8961892ddc7ffff,No Junction,25.729666846738724,36.470924,41.74658612831652
HS_8960145b063ffff,No Junction,61.44660577716018,86.99461,41.57757380928761
HS_8961892e2abffff,No Junction,23.006304124983263,32.532673,41.40764507564618
HS_89618925d63ffff,No Junction,23.009808154727345,32.532673,41.38611092850971
HS_8961892ee43ffff,No Junction,25.82726626862143,36.470924,41.21093575339555
HS_89618924ebbffff,No Junction,25.856397756093468,36.470924,41.051838394025545
HS_89618925303ffff,No Junction,25.856397756093468,36.470924,41.051838394025545
HS_8961892ed2fffff,No Junction,57.827253781843154,81.508804,40.95223098227352
HS_89601696d37ffff,No Junction,25.878068282273688,36.470924,40.93372032109428
HS_8960145a633ffff,No Junction,25.89604500001882,36.470924,40.83588585598651
HS_8961892ea6bffff,No Junction,25.89783460390695,36.470924,40.826153750859916
HS_8960145187bffff,No Junction,25.89783460390695,36.470924,40.826153750859916
HS_8960145b343ffff,No Junction,25.89783460390695,36.470924,40.826153750859916
HS_8960145a8dbffff,No Junction,25.89783460390695,36.470924,40.826153750859916
HS_896016961a3ffff,No Junction,25.89783460390695,36.470924,40.826153750859916
HS_89618926277ffff,No Junction,25.89783460390695,36.470924,40.826153750859916
HS_896016900d3ffff,No Junction,25.89783460390695,36.470924,40.826153750859916
HS_89601690153ffff,No Junction,25.89783460390695,36.470924,40.826153750859916
HS_8960145b0abffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_89618921977ffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_8961892e27bffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_8961892194fffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_8961892e627ffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_8961892e17bffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_8961892e66fffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_89601458623ffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_8960145820bffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_8960145b36fffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_8960145863bffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_8960145b30bffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_8960145b31bffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_8961892f51bffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_8961892f57bffff,No Junction,23.12342783190781,32.532673,40.691393674723834
HS_8961892f4d3ffff,No Junction,23.12342783190781,32.532673,40.691393674723834
